ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa
CAH,2021-02-05,0.328967,0.005331,0.129474,0.007
CAH,2020-08-06,0.270518,0.012152,0.078049,0.012101
CAH,2019-08-08,0.367736,0.006701,0.122209,0.008551
CAH,2018-08-06,0.403375,0.006452,0.117456,0.012042
CAH,2021-08-05,0.25868,0.01069,0.119929,0.009294
CAH,2021-11-09,0.376036,0.006863,0.149826,0.008671
CAH,2020-02-06,0.271325,0.006085,0.198654,0.010346
CAH,2021-05-06,0.267346,0.006257,0.119492,0.007632
AHCO,2022-05-10,0.570736,0.005911,0.255326,0.006639
AHCO,2022-08-09,0.415448,0.006474,0.210254,0.00914
AHCO,2022-02-24,0.238573,0.011194,0.068231,0.008092
AHCO,2020-11-04,0.458092,0.008052,0.220911,0.010851
